major_heading,major_heading_Thai,activity_code,met_value,activity_description,activity_description_Thai,target_group
Bicycling,การปั่นจักรยาน,1003,14,"Bicycling, mountain, uphill, vigorous",ปั่นจักรยานบนภูเขา ขึ้นเขา อย่างกระฉับกระเฉง,adult
Bicycling,การปั่นจักรยาน,1004,16,"Bicycling, mountain, competitive racing",การปั่นจักรยาน จักรยานเสือภูเขา การแข่งขัน,adult
Bicycling,การปั่นจักรยาน,1008,8.5,"Bicycling, BMX","การปั่นจักรยาน, บีเอ็มเอ็กซ์",adult
Bicycling,การปั่นจักรยาน,1009,8.5,"Bicycling, mountain, general","ปั่นจักรยาน, จักรยานเสือภูเขา, ทั่วไป",adult
Bicycling,การปั่นจักรยาน,1010,4,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)",การปั่นจักรยานด้วยความเร็วต่ำกว่า 10 ไมล์ต่อชั่วโมง เพื่อการพักผ่อน การเดินทางไปทำงาน หรือเพื่อความเพลิดเพลิน (รหัสเทย์เลอร์ 115),adult
Bicycling,การปั่นจักรยาน,1011,6.8,"Bicycling, to/from work, self selected pace",ปั่นจักรยานไป/กลับที่ทำงาน ด้วยความเร็วตามใจชอบ,adult
Bicycling,การปั่นจักรยาน,1013,5.8,"Bicycling, on dirt or farm road, moderate pace",ปั่นจักรยานบนถนนลูกรังหรือถนนในไร่ ด้วยความเร็วปานกลาง,adult
Bicycling,การปั่นจักรยาน,1014,7,"Bicycling, general",การปั่นจักรยานทั่วไป,adult
Bicycling,การปั่นจักรยาน,1015,4.3,"Bicycling, self-selected easy pace",ปั่นจักรยาน ด้วยความเร็วสบายๆ ตามความสะดวก,adult
Bicycling,การปั่นจักรยาน,1016,7,"Bicycling, self-selected moderate pace",ปั่นจักรยานด้วยความเร็วปานกลางตามความสะดวก,adult
Bicycling,การปั่นจักรยาน,1017,9,"Bicycling, self-selected vigorous pace",ปั่นจักรยานด้วยความเร็วที่เลือกเอง,adult
Bicycling,การปั่นจักรยาน,1018,3.5,"Bicycling, leisure 5.5 mph",ปั่นจักรยานเพื่อพักผ่อน ความเร็ว 5.5 ไมล์ต่อชั่วโมง,adult
Bicycling,การปั่นจักรยาน,1019,5.8,"Bicycling, leisure, 9.4 mph",ปั่นจักรยานเพื่อพักผ่อน ความเร็ว 9.4 ไมล์ต่อชั่วโมง,adult
Bicycling,การปั่นจักรยาน,1020,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort",ปั่นจักรยาน ความเร็ว 10-11.9 ไมล์ต่อชั่วโมง พักผ่อน ช้าๆ ใช้แรงน้อย,adult
Bicycling,การปั่นจักรยาน,1030,8,"Bicycling, 12-13.9 mph, leisure, moderate effort",ปั่นจักรยาน ความเร็ว 12-13.9 ไมล์ต่อชั่วโมง สันทนาการ ใช้แรงปานกลาง,adult
Bicycling,การปั่นจักรยาน,1040,10,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort",ปั่นจักรยาน ความเร็ว 14-15.9 ไมล์ต่อชั่วโมง ไม่ว่าจะแข่งหรือปั่นเพื่อพักผ่อน ใช้แรงมากและรวดเร็ว,adult
Bicycling,การปั่นจักรยาน,1050,12,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general","ปั่นจักรยาน, 16-19 ไมล์ต่อชั่วโมง, แข่ง/ไม่เกาะกลุ่ม หรือเกาะกลุ่มที่ความเร็วมากกว่า 19 ไมล์ต่อชั่วโมง, เร็วมาก, การแข่งขันทั่วไป",adult
Bicycling,การปั่นจักรยาน,1060,16.8,"Bicycling, >20 mph, racing, not drafting",ปั่นจักรยานด้วยความเร็วมากกว่า 20 ไมล์ต่อชั่วโมง แข่งกัน ไม่ใช่การปั่นตามหลังกัน,adult
Bicycling,การปั่นจักรยาน,1065,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm",ปั่นจักรยาน ความเร็ว 12 ไมล์ต่อชั่วโมง นั่งปั่น มือวางบนที่จับเบรกหรือแฮนด์ 80 รอบต่อนาที,adult
